Industry1,Industry2,ETF Correlation
Consumer Electronics,Consumer Electronics,1.0
Software - Infrastructure,Consumer Electronics,0.4979580940382583
Banks - Diversified,Consumer Electronics,0.4012722683050204
Semiconductors,Consumer Electronics,0.3141372668942607
Oil & Gas Integrated,Consumer Electronics,0.24619255596310632
Drug Manufacturers - General,Consumer Electronics,0.39453890252670515
Healthcare Plans,Consumer Electronics,0.286903904080194
Household & Personal Products,Consumer Electronics,-0.05936644439013501
Credit Services,Consumer Electronics,0.5462799883644942
Home Improvement Retail,Consumer Electronics,0.06789870037962903
Discount Stores,Consumer Electronics,0.4082589537522876
Software - Application,Consumer Electronics,0.14752107800407527
Medical Instruments & Supplies,Consumer Electronics,0.4631428645437826
Oil & Gas E&P,Consumer Electronics,0.6439547171476383
Specialty Retail,Consumer Electronics,0.645902625695053
Specialty Industrial Machinery,Consumer Electronics,0.26319144987844184
Restaurants,Consumer Electronics,0.319644830794846
Gambling,Consumer Electronics,0.3343038889210151
Aerospace & Defense,Consumer Electronics,0.38024254779886724
Solar,Consumer Electronics,0.41544856029294003
Building Products & Equipment,Consumer Electronics,0.0761928400227183
Biotechnology,Consumer Electronics,-0.14337260363808918
Semiconductor Equipment & Materials,Consumer Electronics,0.5133778610638741
Residential Construction,Consumer Electronics,0.3399731757821791
Utilities - Regulated Electric,Consumer Electronics,0.4624661997065475
Consumer Electronics,Software - Infrastructure,0.4979580940382583
Software - Infrastructure,Software - Infrastructure,1.0
Banks - Diversified,Software - Infrastructure,0.8213489242700095
Semiconductors,Software - Infrastructure,0.41246727784791554
Oil & Gas Integrated,Software - Infrastructure,0.6275030295609223
Drug Manufacturers - General,Software - Infrastructure,0.7189977572911697
Healthcare Plans,Software - Infrastructure,0.48513790275206947
Household & Personal Products,Software - Infrastructure,0.17002021099316045
Credit Services,Software - Infrastructure,0.4206826520335281
Home Improvement Retail,Software - Infrastructure,0.07472800119797574
Discount Stores,Software - Infrastructure,0.6224546935099781
Software - Application,Software - Infrastructure,0.38753484943970823
Medical Instruments & Supplies,Software - Infrastructure,0.4639319517010151
Oil & Gas E&P,Software - Infrastructure,0.701064149340912
Specialty Retail,Software - Infrastructure,0.7133692991914377
Specialty Industrial Machinery,Software - Infrastructure,0.4677766556457051
Restaurants,Software - Infrastructure,0.6472799076306032
Gambling,Software - Infrastructure,0.5219415623091272
Aerospace & Defense,Software - Infrastructure,0.5293072096821575
Solar,Software - Infrastructure,0.3144361041911973
Building Products & Equipment,Software - Infrastructure,0.32954583211856614
Biotechnology,Software - Infrastructure,0.12912201294738684
Semiconductor Equipment & Materials,Software - Infrastructure,0.7166442557160391
Residential Construction,Software - Infrastructure,0.20799360085923033
Utilities - Regulated Electric,Software - Infrastructure,0.46616047104171127
Consumer Electronics,Banks - Diversified,0.4012722683050204
Software - Infrastructure,Banks - Diversified,0.8213489242700095
Banks - Diversified,Banks - Diversified,1.0
Semiconductors,Banks - Diversified,0.2681487859186751
Oil & Gas Integrated,Banks - Diversified,0.6114132112957644
Drug Manufacturers - General,Banks - Diversified,0.798699690518579
Healthcare Plans,Banks - Diversified,0.5666116940224847
Household & Personal Products,Banks - Diversified,0.17890042419631252
Credit Services,Banks - Diversified,0.17927780161830928
Home Improvement Retail,Banks - Diversified,-0.05615386855096305
Discount Stores,Banks - Diversified,0.4301010997164076
Software - Application,Banks - Diversified,0.37700549354542146
Medical Instruments & Supplies,Banks - Diversified,0.1886284742427765
Oil & Gas E&P,Banks - Diversified,0.6497933248914454
Specialty Retail,Banks - Diversified,0.6428323345575762
Specialty Industrial Machinery,Banks - Diversified,0.4451830717050174
Restaurants,Banks - Diversified,0.7677226455238737
Gambling,Banks - Diversified,0.5911464500496351
Aerospace & Defense,Banks - Diversified,0.40020119120238923
Solar,Banks - Diversified,0.18631401869011124
Building Products & Equipment,Banks - Diversified,0.37485958238368905
Biotechnology,Banks - Diversified,0.19644700622810332
Semiconductor Equipment & Materials,Banks - Diversified,0.4974443245723523
Residential Construction,Banks - Diversified,0.0960645179511922
Utilities - Regulated Electric,Banks - Diversified,0.18199465544520108
Consumer Electronics,Semiconductors,0.3141372668942607
Software - Infrastructure,Semiconductors,0.41246727784791554
Banks - Diversified,Semiconductors,0.2681487859186751
Semiconductors,Semiconductors,1.0
Oil & Gas Integrated,Semiconductors,0.4200813810413713
Drug Manufacturers - General,Semiconductors,0.1359208492281769
Healthcare Plans,Semiconductors,0.22339420739328067
Household & Personal Products,Semiconductors,0.014058373544092851
Credit Services,Semiconductors,0.45554073778815735
Home Improvement Retail,Semiconductors,0.145234017134514
Discount Stores,Semiconductors,0.6365655986895301
Software - Application,Semiconductors,0.15517481565412747
Medical Instruments & Supplies,Semiconductors,0.3948158726273236
Oil & Gas E&P,Semiconductors,0.33324485881108523
Specialty Retail,Semiconductors,0.34347481030883004
Specialty Industrial Machinery,Semiconductors,0.13651565625055476
Restaurants,Semiconductors,0.15522501124418353
Gambling,Semiconductors,0.2760685516290666
Aerospace & Defense,Semiconductors,0.5336424061881697
Solar,Semiconductors,0.4047138264335522
Building Products & Equipment,Semiconductors,0.007467274108832115
Biotechnology,Semiconductors,-0.03395256543331337
Semiconductor Equipment & Materials,Semiconductors,0.29855227249698985
Residential Construction,Semiconductors,0.3803508652489956
Utilities - Regulated Electric,Semiconductors,0.38533141873347904
Consumer Electronics,Oil & Gas Integrated,0.24619255596310632
Software - Infrastructure,Oil & Gas Integrated,0.6275030295609223
Banks - Diversified,Oil & Gas Integrated,0.6114132112957644
Semiconductors,Oil & Gas Integrated,0.4200813810413713
Oil & Gas Integrated,Oil & Gas Integrated,1.0
Drug Manufacturers - General,Oil & Gas Integrated,0.6679146906937409
Healthcare Plans,Oil & Gas Integrated,0.39453564778052064
Household & Personal Products,Oil & Gas Integrated,0.18338335429858352
Credit Services,Oil & Gas Integrated,0.2288650249300742
Home Improvement Retail,Oil & Gas Integrated,-0.14767205585296245
Discount Stores,Oil & Gas Integrated,0.558806465014288
Software - Application,Oil & Gas Integrated,0.3675819506303332
Medical Instruments & Supplies,Oil & Gas Integrated,0.11051103725332288
Oil & Gas E&P,Oil & Gas Integrated,0.4775774847791256
Specialty Retail,Oil & Gas Integrated,0.4788729332954909
Specialty Industrial Machinery,Oil & Gas Integrated,0.37781173358951436
Restaurants,Oil & Gas Integrated,0.4564828760415319
Gambling,Oil & Gas Integrated,0.45042259799550294
Aerospace & Defense,Oil & Gas Integrated,0.3687034230540666
