AAPL,ACLS,ADBE,AKAM,AMSC,AMZN,AVGO,BAC,BBY,CHDN,CLF,CLW,CMTL,COST,CROX,CRVL,CVCO,CVGW,CVX,EXR,FE,FICO,FIZZ,GHC,GOOGL,HD,HES,ILMN,IMMR,INSM,JNJ,JPM,LII,LLY,MA,MGEE,MKC,MRK,MSFT,MTCH,NEOG,NVDA,PFE,PG,PRDO,PRTS,REG,ROK,STRL,TFX,TPC,TXT,UNH,V,WDC,WU,XOM
493729600,128675,4710200,3015600,86230,151998000,5387000,180845200,6433800,265800,2749600,219800,129800,3280200,2174900,154800,13100,207900,10173800,774400,1840900,304100,526800,40879,78169752,13120900,3729300,1843924,148300,45680,9506200,35460500,379400,6067100,9321000,53550,980000,14563532,38409100,5840636,246338,800204000,54898644,9190800,1264900,49500,1354400,904000,73100,288400,323400,3630600,12199500,20180000,4125379,4277900,27809100
601904800,85975,7108800,5421900,106840,177038000,3011000,209521300,6979200,252000,2086200,501600,173100,2775800,3374800,147000,16300,115500,10593700,642600,2922100,205500,320600,46175,120067812,15594300,3195800,3124812,333600,51170,10673100,41208300,333600,7517100,12906000,272100,1097400,15452550,49749600,7711404,316721,728648000,45714931,8649400,1538200,21100,1044500,964900,122700,205900,271600,12121100,11180700,25833600,9325695,3914900,30174700
552160000,382900,5336400,2863900,87960,143576000,5331000,205257900,4192500,252000,3854500,198400,200700,3722900,1912400,113400,26500,85600,11014600,1144200,3426300,209000,319000,60077,158988852,8833200,3545900,4179540,126500,42380,13171500,27729000,527200,7661600,10785000,84900,1175800,15971415,58182400,5409539,259135,649168000,43640975,9908400,970100,17300,1384300,893200,110600,303400,289600,5598300,9761100,16254000,5286840,4207900,35044700
477131200,276925,5576700,2919400,60250,220604000,2718000,320868400,8762000,247200,2706700,191000,256700,4527600,3720100,92400,10100,43700,9626900,595600,2327700,182900,305400,76296,256315428,12058200,4994300,9313680,79800,49930,10901600,44864700,469100,5997100,11273000,62550,1399800,12488597,50559700,6732595,174356,547792000,41557112,8972800,657600,20800,985400,673800,39100,110100,384800,5196100,11789800,27841200,4797860,8256900,27192100
447610800,279975,5429200,2106600,89660,196610000,2899000,220104700,14177900,136800,4279700,177800,611700,2348300,2411400,95400,17900,91700,5624300,412000,2286900,240600,205200,54946,188783028,15609800,2164400,2756685,67300,60730,7898000,33110100,361200,5624400,8635000,51150,1332600,11283921,51197400,3877414,194751,478168000,32049716,8464600,1719900,55200,1042700,664400,36400,66600,309100,4104000,7228700,11907200,3336209,5673900,24891800
462229600,123300,4901400,2898800,37440,175588000,5127000,168991600,9568900,181200,4113600,117800,389600,1830400,2202700,110400,8000,90500,11916800,453400,2026900,131200,201200,27804,288227484,23670500,3038200,2277020,271200,115600,7975700,31878700,250300,4793400,11171000,34200,1019800,10041726,68754700,6809289,252337,556612000,34199665,14774600,1566100,206600,1167400,1416900,43200,448700,208500,7214100,7206900,12912000,3688392,5324200,30685000
594459600,142675,5073900,3250300,74510,181926000,9167000,223486800,6770900,315600,4646800,204000,345500,2113300,2838800,87600,12900,67000,12175200,567000,2687400,368500,181600,27142,193937868,23075800,5338700,16480896,63600,129390,10820700,47109600,210200,4700800,8595000,57750,997800,11445942,65912100,4887391,139965,627432000,43501847,13460700,656800,423500,1014300,1765400,103400,196700,354700,4849100,13121500,12842000,5518762,5087200,31496700
605892000,213450,3660100,3142800,45650,214464000,9439000,192609900,4400000,167400,3670700,93000,227800,2051500,2206200,64800,38200,58800,10842200,415800,1556000,321200,139800,28963,259604136,15639100,4254900,12683361,90700,101130,13023800,39622000,285000,5320900,8585000,52050,1559000,26593419,51863500,7778993,110772,508868000,62728072,16968100,527700,37000,953000,777400,79600,118100,574000,5378700,8797200,13428800,3719218,5782200,24884400
432894000,117050,4536200,4208000,59580,195498000,10654000,142634200,4046500,162600,3080600,86200,445700,2145700,13315000,58200,19300,54800,6721000,263400,2144200,143800,321200,31611,169434396,13208200,1725600,3742537,99600,301460,7899000,37938300,453100,6417300,12433000,29400,870200,23081466,63228100,5572382,140365,608524000,49820367,9139500,822600,6200,924300,627400,60700,191300,252600,17621700,8818300,18379600,2775257,3248600,18630800
594067600,134275,6732300,3455500,145400,307530000,1587000,195117100,5803500,207600,3593100,187400,332000,3081700,4716100,139200,15600,95400,13482300,791300,2244200,351400,182000,59911,217162620,23013500,3831200,2992714,145700,155390,20995000,69738500,341200,6519600,19419000,92850,1680400,21854258,79913200,4842215,313922,818192000,80760537,15768300,1373100,49500,1859900,877200,86200,225900,180300,9136800,19382000,21295200,6449493,4712600,29411900
