Stock1,Stock2,Total Log Return,Annualized Return,Sharpe Ratio,Max Drawdown,Beta,Cummulative Return,BuyHold Total Log Return,BuyHold Sharpe Ratio,BuyHold Cummulative Return
UNH,NEOG,0.5320414257998172,0.053309916223281885,0.02437580435257025,-26.839630466223937,"0       0.066655
1       0.066655
2       0.066655
3       0.066655
4       0.066655
          ...   
2510    2.443654
2511    2.410957
2512    2.583107
2513    2.509839
2514    2.389050
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    0.312603
2511    0.443714
2512   -0.158439
2513    0.111633
2514    0.532041
Length: 2515, dtype: float64",2.0256797084220834,0.9167348937627752,"0      -0.001000
1      -0.015744
2      -0.016365
3       0.007985
4       0.004954
          ...   
2510    2.035674
2511    2.030849
2512    2.033878
2513    2.031736
2514    2.025680
Length: 2515, dtype: float64"
UNH,CVCO,7.114528082115418,0.7128672273133541,0.27654085283989904,-13.19510364530821,"0       0.102612
1       0.102612
2       0.102612
3       0.102612
4       0.102612
          ...   
2510    2.342181
2511    2.210662
2512    2.058018
2513    1.898959
2514    1.696420
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    3.716323
2511    4.400106
2512    5.203409
2513    6.042393
2514    7.114528
Length: 2515, dtype: float64",2.008082809662441,0.8024504055404265,"0      -0.001000
1      -0.017802
2      -0.030723
3       0.007579
4       0.019615
          ...   
2510    2.012329
2511    2.012871
2512    2.015783
2513    2.016324
2514    2.008083
Length: 2515, dtype: float64"
UNH,AVGO,16.76676064889408,1.680009416907081,1.3203899567966768,-38.95352657296437,"0       0.029057
1       0.029057
2       0.029057
3       0.029057
4       0.029057
          ...   
2510    1.520307
2511    1.518799
2512    1.514329
2513    1.513567
2514    1.524471
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.755554
2511    16.754092
2512    16.784659
2513    16.795187
2514    16.766761
Length: 2515, dtype: float64",2.6945679729558893,1.1733500946642181,"0      -0.001000
1       0.001904
2       0.010736
3       0.026422
4       0.025370
          ...   
2510    2.707263
2511    2.707846
2512    2.705780
2513    2.704035
2514    2.694568
Length: 2515, dtype: float64"
UNH,CHDN,17.289349025569685,1.7323721488841195,0.8773176452615217,-inf,"0       0.076061
1       0.076061
2       0.076061
3       0.076061
4       0.076061
          ...   
2510    1.782751
2511    1.757924
2512    1.723441
2513    1.681578
2514    1.621407
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.655780
2511    16.766066
2512    16.891165
2513    17.056334
2514    17.289349
Length: 2515, dtype: float64",2.41782213751118,1.2567677190537505,"0      -0.001000
1      -0.014662
2      -0.017672
3      -0.001146
4      -0.004102
          ...   
2510    2.409170
2511    2.405920
2512    2.414462
2513    2.418467
2514    2.417822
Length: 2515, dtype: float64"
ROK,CVCO,-8.548021612206249,-0.856501569095815,-0.32899219635402366,-inf,"0       0.159434
1       0.159434
2       0.159434
3       0.159434
4       0.159434
          ...   
2510    1.983769
2511    1.989180
2512    1.889992
2513    1.778207
2514    1.598678
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510   -10.571616
2511   -10.613134
2512   -10.087950
2513    -9.505221
2514    -8.548022
Length: 2515, dtype: float64",1.6513362844285604,0.5810572871169342,"0      -0.001000
1      -0.021004
2      -0.029411
3      -0.004476
4       0.019200
          ...   
2510    1.656841
2511    1.654730
2512    1.659152
2513    1.656082
2514    1.651336
Length: 2515, dtype: float64"
ROK,NEOG,15.784885533115947,1.581626701528914,0.6902176788637655,-inf,"0       0.793465
1       0.793465
2       0.793465
3       0.793465
4       0.793465
          ...   
2510    2.178709
2511    2.161819
2512    2.283385
2513    2.232133
2514    2.123394
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    15.569140
2511    15.637796
2512    15.215648
2513    15.400225
2514    15.784886
Length: 2515, dtype: float64",1.6689331831882037,0.6821884694899073,"0      -0.001000
1      -0.018947
2      -0.015053
3      -0.004070
4       0.004538
          ...   
2510    1.680187
2511    1.672708
2512    1.677247
2513    1.671494
2514    1.668933
Length: 2515, dtype: float64"
HD,NEOG,13.449199510237168,1.3475937481430484,0.7285266014218547,-inf,"0       0.797018
1       0.797018
2       0.797018
3       0.797018
4       0.797018
          ...   
2510   -0.752159
2511   -0.750897
2512   -0.782501
2513   -0.777726
2514   -0.793019
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    13.572293
2511    13.575908
2512    13.463287
2513    13.487968
2514    13.449200
Length: 2515, dtype: float64",1.9654368402249767,0.9300699424786303,"0      -0.001000
1      -0.011301
2      -0.018556
3      -0.007164
4      -0.007887
          ...   
2510    1.977679
2511    1.977106
2512    1.978593
2513    1.973982
2514    1.965437
Length: 2515, dtype: float64"
V,HD,36.75444232605602,3.682751278793685,1.2408247273002753,-inf,"0       0.460538
1       0.460538
2       0.460538
3       0.460538
4       0.460538
          ...   
2510   -0.371727
2511   -0.380838
2512   -0.382233
2513   -0.388896
2514   -0.407137
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    36.941270
2511    36.888173
2512    36.872123
2513    36.837290
2514    36.754442
Length: 2515, dtype: float64",2.236702806825334,1.2136681172289125,"0      -0.001000
1      -0.003114
2      -0.011607
3      -0.001104
4      -0.002132
          ...   
2510    2.240055
2511    2.244682
2512    2.249242
2513    2.247922
2514    2.236703
Length: 2515, dtype: float64"
LII,CVGW,16.33550437597551,1.6367980527816417,0.6922932495942777,-inf,"0       0.818473
1       0.818473
2       0.818473
3       0.818473
4       0.818473
          ...   
2510   -0.475929
2511   -0.468809
2512   -0.464755
2513   -0.435846
2514   -0.405635
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.015595
2511    16.042576
2512    16.058628
2513    16.200031
2514    16.335504
Length: 2515, dtype: float64",1.922448966008825,0.827755701964245,"0      -0.001000
1      -0.012654
2      -0.006325
3      -0.004114
4       0.019034
          ...   
2510    1.930733
2511    1.936916
2512    1.939261
2513    1.925999
2514    1.922449
Length: 2515, dtype: float64"
JNJ,NEOG,10.838806065828338,1.0860354388026805,0.7742262806709064,-1.3789154863595372,"0       0.176904
1       0.176904
2       0.176904
3       0.176904
4       0.176904
          ...   
2510    1.028167
2511    1.019340
2512    1.063911
2513    1.043810
2514    1.025163
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    10.822001
2511    10.857282
2512    10.698813
2513    10.773966
2514    10.838806
Length: 2515, dtype: float64",1.3897024149760993,0.7188507987719248,"0      -0.001000
1      -0.020782
2      -0.022252
3      -0.020313
4      -0.016911
          ...   
2510    1.401499
2511    1.395863
2512    1.396668
2513    1.393711
2514    1.389702
Length: 2515, dtype: float64"
