,Stock1,Stock2,Total Log Return,Annualized Return,Sharpe Ratio,Max Drawdown,Beta,Cummulative Return,BuyHold Total Log Return,BuyHold Sharpe Ratio,BuyHold Cummulative Return,Sector1,Industry1,CapSize1,Sector2,Industry2,CapSize2,Same_Sector,Same_Industry
0,UNH,NEOG,0.5320194519581811,0.0533077144705612,0.0243747951506193,-26.83983902467992,"0       0.066657
1       0.066657
2       0.066657
3       0.066657
4       0.066657
          ...   
2510    2.443655
2511    2.410958
2512    2.583108
2513    2.509840
2514    2.389051
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    0.312580
2511    0.443692
2512   -0.158460
2513    0.111612
2514    0.532019
Length: 2515, dtype: float64",2.0256798224254746,0.916735185560979,"0      -0.001000
1      -0.015744
2      -0.016365
3       0.007985
4       0.004954
          ...   
2510    2.035674
2511    2.030850
2512    2.033878
2513    2.031736
2514    2.025680
Length: 2515, dtype: float64",Healthcare,Healthcare Plans,Large,Healthcare,Diagnostics & Research,Small,True,False
1,UNH,CVCO,7.114439454644023,0.7128583469464389,0.2765373879639374,-13.195289993754002,"0       0.102613
1       0.102613
2       0.102613
3       0.102613
4       0.102613
          ...   
2510    2.342181
2511    2.210662
2512    2.058018
2513    1.898959
2514    1.696419
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    3.716234
2511    4.400017
2512    5.203320
2513    6.042304
2514    7.114439
Length: 2515, dtype: float64",2.008082923665831,0.8024504789244303,"0      -0.001000
1      -0.017801
2      -0.030723
3       0.007579
4       0.019615
          ...   
2510    2.012329
2511    2.012871
2512    2.015784
2513    2.016325
2514    2.008083
Length: 2515, dtype: float64",Healthcare,Healthcare Plans,Large,Consumer Cyclical,Residential Construction,Small,False,False
2,UNH,CHDN,17.289373606565544,1.7323746118705834,0.8773187113758706,-inf,"0       0.076062
1       0.076062
2       0.076062
3       0.076062
4       0.076062
          ...   
2510    1.782750
2511    1.757924
2512    1.723440
2513    1.681579
2514    1.621407
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.655807
2511    16.766093
2512    16.891192
2513    17.056359
2514    17.289374
Length: 2515, dtype: float64",2.4178223186198413,1.2567680724265595,"0      -0.001000
1      -0.014662
2      -0.017672
3      -0.001145
4      -0.004101
          ...   
2510    2.409170
2511    2.405920
2512    2.414463
2513    2.418467
2514    2.417822
Length: 2515, dtype: float64",Healthcare,Healthcare Plans,Large,Consumer Cyclical,Gambling,Mid,False,False
3,ROK,CVCO,-8.54808678163242,-0.8565080989945806,-0.3289947000281488,-inf,"0       0.159435
1       0.159435
2       0.159435
3       0.159435
4       0.159435
          ...   
2510    1.983768
2511    1.989180
2512    1.889992
2513    1.778206
2514    1.598677
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510   -10.571680
2511   -10.613200
2512   -10.088016
2513    -9.505285
2514    -8.548087
Length: 2515, dtype: float64",1.6513360729437383,0.5810572577956733,"0      -0.001000
1      -0.021004
2      -0.029412
3      -0.004476
4       0.019199
          ...   
2510    1.656841
2511    1.654730
2512    1.659152
2513    1.656082
2514    1.651336
Length: 2515, dtype: float64",Industrials,Specialty Industrial Machinery,Mid,Consumer Cyclical,Residential Construction,Small,False,False
4,HD,NEOG,13.449205030782252,1.3475943012950806,0.7285269973864288,-inf,"0       0.797018
1       0.797018
2       0.797018
3       0.797018
4       0.797018
          ...   
2510   -0.752159
2511   -0.750897
2512   -0.782500
2513   -0.777726
2514   -0.793019
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    13.572298
2511    13.575914
2512    13.463292
2513    13.487973
2514    13.449205
Length: 2515, dtype: float64",1.9654368960566453,0.9300695593405972,"0      -0.001000
1      -0.011302
2      -0.018556
3      -0.007163
4      -0.007887
          ...   
2510    1.977679
2511    1.977106
2512    1.978593
2513    1.973982
2514    1.965437
Length: 2515, dtype: float64",Consumer Cyclical,Home Improvement Retail,Large,Healthcare,Diagnostics & Research,Small,False,False
5,COST,CHDN,2.987122738288087,0.29930613520819,0.1702444708860634,-inf,"0       0.003580
1       0.003580
2       0.003580
3       0.003580
4       0.003580
          ...   
2510    0.030826
2511   -0.028962
2512   -0.072810
2513   -0.140108
2514   -0.215455
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    4.030137
2511    3.776674
2512    3.587132
2513    3.309142
2514    2.987123
Length: 2515, dtype: float64",2.154663909228946,1.2292897678568366,"0      -0.001000
1      -0.015385
2      -0.016837
3      -0.021563
4      -0.023414
          ...   
2510    2.140797
2511    2.140045
2512    2.149250
2513    2.149966
2514    2.154664
Length: 2515, dtype: float64",Consumer Defensive,Discount Stores,Large,Consumer Cyclical,Gambling,Mid,False,False
6,MA,COST,29.309314488752463,2.936758350364064,0.7393148607699088,-inf,"0      -1.043776
1      -1.043776
2      -1.043776
3      -1.043776
4      -1.043776
          ...   
2510    0.224750
2511    0.083115
2512   -0.034352
2513   -0.230325
2514   -0.660236
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    31.355824
2511    32.148816
2512    32.812432
2513    31.708350
2514    29.309314
Length: 2515, dtype: float64",2.1763727691194723,1.2027856322674362,"0      -0.001000
1      -0.003999
2       0.001736
3      -0.003965
4      -0.007401
          ...   
2510    2.173507
2511    2.175426
2512    2.180851
2513    2.180671
2514    2.176373
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Consumer Defensive,Discount Stores,Large,False,False
7,AAPL,MSFT,14.378049821045003,1.4406634413134556,0.395412228605141,-inf,"0       1.002227
1       1.002227
2       1.002227
3       1.002227
4       1.002227
          ...   
2510    1.559560
2511    1.526895
2512    1.503092
2513    1.489979
2514    1.470116
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    13.905269
2511    14.070243
2512    14.196920
2513    14.259651
2514    14.378050
Length: 2515, dtype: float64",2.1285837639608047,1.0294325462702074,"0      -0.001000
1       0.000025
2      -0.011070
3      -0.017222
4      -0.010472
          ...   
2510    2.115945
2511    2.116325
2512    2.130229
2513    2.130953
2514    2.128584
Length: 2515, dtype: float64",Technology,Consumer Electronics,Large,Technology,Software - Infrastructure,Large,True,False
8,COST,FICO,17.22795609476161,1.7262206504492743,0.6468929253464419,-inf,"0       0.157836
1       0.157836
2       0.157836
3       0.157836
4       0.157836
          ...   
2510    0.048607
2511    0.034311
2512    0.023922
2513    0.011413
2514   -0.002720
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    17.538516
2511    17.450584
2512    17.384131
2513    17.315327
2514    17.227956
Length: 2515, dtype: float64",2.357829185268372,1.2038460986089368,"0      -0.001000
1      -0.006925
2       0.001162
3      -0.000796
4      -0.005339
          ...   
2510    2.357905
2511    2.358992
2512    2.366368
2513    2.362896
2514    2.357829
Length: 2515, dtype: float64",Consumer Defensive,Discount Stores,Large,Technology,Software - Application,Mid,False,False
9,LLY,MRK,1.8700527995893363,0.1873770598395677,0.0598862288440618,-42.69805873974108,"0       0.590197
1       0.590197
2       0.590197
3       0.590197
4       0.590197
          ...   
2510    1.584133
2511    1.627437
2512    1.652996
2513    1.677845
2514    1.705836
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    2.380240
2511    2.198612
2512    2.090565
2513    1.983520
2514    1.870053
Length: 2515, dtype: float64",1.4465948235655244,0.8526785011948815,"0      -0.001000
1      -0.007850
2       0.002514
3       0.000764
4      -0.003343
          ...   
2510    1.450908
2511    1.449118
2512    1.448685
2513    1.451007
2514    1.446595
Length: 2515, dtype: float64",Healthcare,Drug Manufacturers - General,Large,Healthcare,Drug Manufacturers - General,Large,True,True
10,COST,LLY,17.786930645570443,1.782229233671472,0.5464695242284464,-inf,"0      -0.035193
1      -0.035193
2      -0.035193
3      -0.035193
4      -0.035193
          ...   
2510   -0.006355
2511   -0.018706
2512   -0.027492
2513   -0.036278
2514   -0.054936
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    17.546982
2511    17.609513
2512    17.656861
2513    17.693733
2514    17.786931
Length: 2515, dtype: float64",1.750531458065398,1.1397635791320533,"0      -0.001000
1      -0.011389
2      -0.001250
3      -0.006218
4      -0.013674
          ...   
2510    1.747850
2511    1.749263
2512    1.751920
2513    1.750620
2514    1.750531
Length: 2515, dtype: float64",Consumer Defensive,Discount Stores,Large,Healthcare,Drug Manufacturers - General,Large,False,False
11,CHDN,FICO,19.710150001392183,1.9749335190261752,0.6264418476114865,-inf,"0       0.214899
1       0.214899
2       0.214899
3       0.214899
4       0.214899
          ...   
2510    0.104167
2511    0.099526
2512    0.096418
2513    0.095552
2514    0.094471
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    19.628723
2511    19.651706
2512    19.682525
2513    19.694733
2514    19.710150
Length: 2515, dtype: float64",2.65820089353307,1.153988793494706,"0      -0.001000
1      -0.018276
2      -0.024557
3      -0.026396
4      -0.025563
          ...   
2510    2.649629
2511    2.646832
2512    2.658329
2513    2.661066
2514    2.658201
Length: 2515, dtype: float64",Consumer Cyclical,Gambling,Mid,Technology,Software - Application,Mid,False,False
12,V,CHDN,12.4061647889689,1.243082913248574,0.7969661368024311,-inf,"0       0.626248
1       0.626248
2       0.626248
3       0.626248
4       0.626248
          ...   
2510    0.450156
2511    0.468238
2512    0.467994
2513    0.492923
2514    0.483783
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    12.554412
2511    12.483447
2512    12.486675
2513    12.379828
2514    12.406165
Length: 2515, dtype: float64",2.3341594038775555,1.1636849033946992,"0      -0.001000
1      -0.019631
2      -0.034301
3      -0.031971
4      -0.028828
          ...   
2510    2.321402
2511    2.320392
2512    2.331274
2513    2.335345
2514    2.334159
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Consumer Cyclical,Gambling,Mid,False,False
13,V,LLY,22.613080911626312,2.265803733490986,0.696223439489837,-inf,"0       0.806798
1       0.806798
2       0.806798
3       0.806798
4       0.806798
          ...   
2510    0.377585
2511    0.368419
2512    0.360481
2513    0.359578
2514    0.351377
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    22.483423
2511    22.530240
2512    22.576778
2513    22.581296
2514    22.613081
Length: 2515, dtype: float64",1.9300269527140097,1.0904142642130434,"0      -0.001000
1      -0.015635
2      -0.018714
3      -0.016627
4      -0.019088
          ...   
2510    1.928455
2511    1.929610
2512    1.933945
2513    1.935999
2514    1.930027
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Healthcare,Drug Manufacturers - General,Large,False,False
14,MSFT,ADBE,-1.3825321925446823,-0.1385280765492087,-0.0578418252135098,-inf,"0       0.587005
1       0.587005
2       0.587005
3       0.587005
4       0.587005
          ...   
2510    0.685190
2511    0.677253
2512    0.670949
2513    0.665113
2514    0.657567
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510   -1.544998
2511   -1.500603
2512   -1.459059
2513   -1.422545
2514   -1.382532
Length: 2515, dtype: float64",2.021863503533797,0.9031706945239992,"0      -0.001000
1       0.007318
2       0.003178
3      -0.011847
4      -0.011129
          ...   
2510    2.023220
2511    2.024172
2512    2.030615
2513    2.030908
2514    2.021864
Length: 2515, dtype: float64",Technology,Software - Infrastructure,Large,Technology,Software - Application,Large,True,False
15,MSFT,FICO,21.512709389950807,2.1555478195895046,0.8526110214929445,-inf,"0       0.101561
1       0.101561
2       0.101561
3       0.101561
4       0.101561
          ...   
2510    0.500910
2511    0.504566
2512    0.508371
2513    0.509924
2514    0.507671
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    21.549438
2511    21.528054
2512    21.508739
2513    21.502087
2514    21.512709
Length: 2515, dtype: float64",2.3631954632713077,1.0590411478198287,"0      -0.001000
1      -0.005246
2      -0.006696
3      -0.011458
4      -0.008951
          ...   
2510    2.365809
2511    2.365235
2512    2.374151
2513    2.374338
2514    2.363195
Length: 2515, dtype: float64",Technology,Software - Infrastructure,Large,Technology,Software - Application,Mid,True,False
16,UNH,ROK,19.548551450829624,1.9587415370214971,0.7102247041674595,-inf,"0       0.069333
1       0.069333
2       0.069333
3       0.069333
4       0.069333
          ...   
2510    0.970800
2511    0.962791
2512    0.956183
2513    0.949405
2514    0.949704
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    19.436117
2511    19.483015
2512    19.514781
2513    19.557111
2514    19.548551
Length: 2515, dtype: float64",2.0238621690239462,0.9600082441742775,"0      -0.001000
1      -0.005790
2       0.008524
3       0.032816
4       0.035020
          ...   
2510    2.030332
2511    2.025813
2512    2.031084
2513    2.028555
2514    2.023862
Length: 2515, dtype: float64",Healthcare,Healthcare Plans,Large,Industrials,Specialty Industrial Machinery,Mid,False,False
17,ADBE,ROK,8.496744374848099,0.8513636510782191,0.2634304549814761,-inf,"0       0.053713
1       0.053713
2       0.053713
3       0.053713
4       0.053713
          ...   
2510    0.568746
2511    0.583766
2512    0.598789
2513    0.613649
2514    0.629810
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    8.813499
2511    8.741284
2512    8.663541
2513    8.588414
2514    8.496744
Length: 2515, dtype: float64",1.9229087841996653,0.8124010885807291,"0      -0.001000
1       0.003160
2       0.011512
3       0.007177
4       0.011380
          ...   
2510    1.928201
2511    1.925663
2512    1.931414
2513    1.927724
2514    1.922909
Length: 2515, dtype: float64",Technology,Software - Application,Large,Industrials,Specialty Industrial Machinery,Mid,False,False
18,JPM,ADBE,21.08000455852196,2.1121913116292377,0.5693156907893963,-10.07120643571439,"0       1.002376
1       1.002376
2       1.002376
3       1.002376
4       1.002376
          ...   
2510    0.800641
2511    0.780689
2512    0.762431
2513    0.743732
2514    0.719949
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    21.559395
2511    21.442624
2512    21.329809
2513    21.219664
2514    21.080005
Length: 2515, dtype: float64",1.795655453103273,0.7995675191978285,"0      -0.001000
1       0.016749
2       0.018426
3       0.018436
4       0.014489
          ...   
2510    1.792399
2511    1.794830
2512    1.802469
2513    1.802209
2514    1.795655
Length: 2515, dtype: float64",Financial Services,Banks - Diversified,Large,Technology,Software - Application,Large,False,False
19,TFX,CVCO,7.035819193122807,0.7049806905236371,0.2793776838521836,-inf,"0       0.286977
1       0.286977
2       0.286977
3       0.286977
4       0.286977
          ...   
2510    0.664704
2511    0.673058
2512    0.637061
2513    0.590224
2514    0.516303
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    6.261460
2511    6.214629
2512    6.399623
2513    6.644234
2514    7.035819
Length: 2515, dtype: float64",1.8344108349897497,0.7274645458165331,"0      -0.001000
1      -0.022353
2      -0.035190
3      -0.011139
4       0.008555
          ...   
2510    1.840468
2511    1.841501
2512    1.840913
2513    1.839852
2514    1.834411
Length: 2515, dtype: float64",Healthcare,Medical Instruments & Supplies,Mid,Consumer Cyclical,Residential Construction,Small,False,False
20,JPM,CHDN,10.725908076656136,1.0747231949571954,0.5350367662862201,-inf,"0       1.201129
1       1.201129
2       1.201129
3       1.201129
4       1.201129
          ...   
2510    0.939501
2511    0.942534
2512    0.935617
2513    0.912923
2514    0.854655
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    10.380199
2511    10.374627
2512    10.401660
2513    10.491325
2514    10.725908
Length: 2515, dtype: float64",1.9338221368013568,0.910048844582984,"0      -0.001000
1      -0.004276
2      -0.009446
3      -0.001941
4      -0.001409
          ...   
2510    1.917880
2511    1.916946
2512    1.928886
2513    1.932709
2514    1.933822
Length: 2515, dtype: float64",Financial Services,Banks - Diversified,Large,Consumer Cyclical,Gambling,Mid,False,False
21,CVCO,MGEE,30.5525867239001,3.0613327452973462,0.5138511353922387,-inf,"0       1.046433
1       1.046433
2       1.046433
3       1.046433
4       1.046433
          ...   
2510    0.026983
2511    0.075044
2512    0.086959
2513    0.099953
2514    0.115765
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    30.172015
2511    30.374137
2512    30.422487
2513    30.478252
2514    30.552587
Length: 2515, dtype: float64",1.5494681060024942,0.6271157487574203,"0      -0.001000
1      -0.032052
2      -0.050159
3      -0.030829
4      -0.010942
          ...   
2510    1.544659
2511    1.553843
2512    1.553038
2513    1.555443
2514    1.549468
Length: 2515, dtype: float64",Consumer Cyclical,Residential Construction,Small,Utilities,Utilities - Regulated Electric,Small,False,False
22,MA,CHDN,3.970416202189072,0.3978309673764,0.2339990409356035,-inf,"0       1.363109
1       1.363109
2       1.363109
3       1.363109
4       1.363109
          ...   
2510    0.680900
2511    0.709523
2512    0.738016
2513    0.773933
2514    0.782027
Length: 2515, dtype: float64","0       0.000000
1       0.000000
2       0.000000
3       0.000000
4       0.000000
          ...   
2510    4.410935
2511    4.295024
2512    4.171723
2513    4.020716
2514    3.970416
Length: 2515, dtype: float64",2.476744477384176,1.1704232002488946,"0      -0.001000
1      -0.015350
2      -0.023984
3      -0.029564
4      -0.027625
          ...   
2510    2.465231
2511    2.463266
2512    2.472811
2513    2.478841
2514    2.476744
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Consumer Cyclical,Gambling,Mid,False,False
23,AAPL,CVCO,23.76155051408342,2.3808790177133288,0.7419461117084034,-inf,"0       0.490161
1       0.490161
2       0.490161
3       0.490161
4       0.490161
          ...   
2510    1.531847
2511    1.366170
2512    1.245111
2513    1.114161
2514    0.914133
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    20.482401
2511    21.351254
2512    22.005800
2513    22.695248
2514    23.761551
Length: 2515, dtype: float64",2.0138497992685567,0.7673823384599894,"0      -0.001000
1      -0.016144
2      -0.041983
3      -0.023435
4      -0.003368
          ...   
2510    2.002924
2511    2.004873
2512    2.015728
2513    2.015538
2514    2.013850
Length: 2515, dtype: float64",Technology,Consumer Electronics,Large,Consumer Cyclical,Residential Construction,Small,False,False
24,ADBE,CVCO,17.15897328439635,1.719308655136334,0.6441312647801344,-inf,"0       0.527999
1       0.527999
2       0.527999
3       0.527999
4       0.527999
          ...   
2510    0.716606
2511    0.657331
2512    0.576566
2513    0.485696
2514    0.342557
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    15.191483
2511    15.503595
2512    15.932419
2513    16.409869
2514    17.158973
Length: 2515, dtype: float64",1.90712953884155,0.6874645551843452,"0      -0.001000
1      -0.008852
2      -0.027735
3      -0.018060
4      -0.004024
          ...   
2510    1.910199
2511    1.912721
2512    1.916113
2513    1.915494
2514    1.907130
Length: 2515, dtype: float64",Technology,Software - Application,Large,Consumer Cyclical,Residential Construction,Small,False,False
25,AAPL,MRK,36.20080815057426,3.6272777948090313,0.6503532031744659,-inf,"0       0.466329
1       0.466329
2       0.466329
3       0.466329
4       0.466329
          ...   
2510    1.689108
2511    1.622965
2512    1.592615
2513    1.578975
2514    1.537286
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    35.508319
2511    35.799686
2512    35.951794
2513    36.007388
2514    36.200808
Length: 2515, dtype: float64",1.819280851457996,1.0123414081103463,"0      -0.001000
1       0.001886
2       0.000552
3       0.000423
4       0.003470
          ...   
2510    1.811098
2511    1.809936
2512    1.819212
2513    1.819897
2514    1.819281
Length: 2515, dtype: float64",Technology,Consumer Electronics,Large,Healthcare,Drug Manufacturers - General,Large,False,False
26,V,MRK,19.417375916805423,1.9455979049840824,0.594377902056935,-inf,"0       0.060641
1       0.060641
2       0.060641
3       0.060641
4       0.060641
          ...   
2510    0.655061
2511    0.641844
2512    0.632055
2513    0.635276
2514    0.623937
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    19.560377
2511    19.498693
2512    19.447396
2513    19.461161
2514    19.417376
Length: 2515, dtype: float64",1.7298510611129845,0.9806435172021752,"0      -0.001000
1      -0.004740
2      -0.004817
3       0.000611
4       0.001727
          ...   
2510    1.732735
2511    1.732405
2512    1.736079
2513    1.737561
2514    1.729851
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Healthcare,Drug Manufacturers - General,Large,False,False
