Stock1,Stock2,Cointegration p-value,Sharpe (Z*ΔSpread),Mean Spread,Std Spread,Start,End
MSFT,NTNX,0.048,-1.4156,3.6985,0.1894,2020-01-02,2024-12-30
FIZZ,EVTC,0.0327,-1.4654,-0.0778,0.2177,2020-01-02,2024-12-30
NVDA,HWM,0.0477,-1.4962,-2.1599,0.3677,2020-01-02,2024-12-30
PG,LLY,0.0452,-1.5095,3.7801,0.0642,2020-01-02,2024-12-30
CHDN,ROK,0.0405,-1.5232,-2.0832,0.1443,2020-01-02,2024-12-30
NVDA,STRL,0.0406,-1.5233,-0.3548,0.2359,2020-01-02,2024-12-30
AVGO,HWM,0.0197,-1.5327,0.273,0.1885,2020-01-02,2024-12-30
HWM,STRL,0.0435,-1.5343,1.4493,0.1506,2020-01-02,2024-12-30
AAPL,JPM,0.037,-1.5389,0.4921,0.1799,2020-01-02,2024-12-30
JNJ,CHDN,0.0491,-1.5429,3.9285,0.0617,2020-01-02,2024-12-30
WING,PRDO,0.029,-1.5442,1.8152,0.3195,2020-01-02,2024-12-30
PRDO,CMTL,0.0164,-1.5548,3.2952,0.1836,2020-01-02,2024-12-30
MSFT,MA,0.0198,-1.578,-3.4659,0.1271,2020-01-02,2024-12-30
WU,NEOG,0.0188,-1.5819,1.2647,0.109,2020-01-02,2024-12-30
MSFT,V,0.0279,-1.5825,-3.7434,0.1277,2020-01-02,2024-12-30
HWM,GHC,0.0435,-1.5884,-9.6441,0.1993,2020-01-02,2024-12-30
MRK,WU,0.0276,-1.5928,6.7901,0.1319,2020-01-02,2024-12-30
FND,FIZZ,0.0266,-1.6077,1.2272,0.1744,2020-01-02,2024-12-30
PG,MGEE,0.0425,-1.6257,1.2064,0.0851,2020-01-02,2024-12-30
FICO,PRDO,0.0205,-1.6316,2.03,0.2891,2020-01-02,2024-12-30
