Ticker,Stock1,Stock2,Cointegration p-value,Sharpe (Z*ΔSpread),Mean Spread,Std Spread
AAPL_MSFT,AAPL,MSFT,0.0375,-0.5366,-0.0048,3.188
AAPL_MRK,AAPL,MRK,0.0423,-0.7304,1.7681,3.6327
AAPL_WU,AAPL,WU,0.0413,-0.6416,2.1045,2.0425
AAPL_CVCO,AAPL,CVCO,0.034,-0.7039,2.2236,2.2118
MSFT_ADBE,MSFT,ADBE,0.0189,-0.6132,1.5556,1.9577
MSFT_TFX,MSFT,TFX,0.0434,-0.7326,1.8843,2.7613
MSFT_FICO,MSFT,FICO,0.0313,-0.6191,2.0026,2.0662
MSFT_CVCO,MSFT,CVCO,0.0155,-0.7301,2.9241,1.6127
JPM_ADBE,JPM,ADBE,0.001,-0.6404,1.7152,2.954
JPM_TFX,JPM,TFX,0.0062,-0.5739,1.662,3.4539
JPM_CHDN,JPM,CHDN,0.0385,-0.6681,2.6387,1.4959
JPM_ROK,JPM,ROK,0.0199,-0.8359,1.3251,1.8851
JPM_CVCO,JPM,CVCO,0.0083,-0.6157,2.5853,1.712
GOOGL_JNJ,GOOGL,JNJ,0.005,-0.8234,0.9173,3.9287
GOOGL_UNH,GOOGL,UNH,0.0108,-0.7385,2.0751,2.8847
GOOGL_V,GOOGL,V,0.0408,-0.5893,0.4552,2.6178
GOOGL_HD,GOOGL,HD,0.0066,-0.4753,0.9525,2.876
GOOGL_COST,GOOGL,COST,0.0348,-0.6224,0.6406,3.4277
GOOGL_TFX,GOOGL,TFX,0.0066,-0.7165,1.4267,2.7481
GOOGL_CHDN,GOOGL,CHDN,0.0064,-0.6834,2.1424,1.5993
GOOGL_ROK,GOOGL,ROK,0.0071,-0.6685,1.5327,2.6243
GOOGL_LII,GOOGL,LII,0.0062,-0.6314,1.5014,2.5566
GOOGL_NEOG,GOOGL,NEOG,0.0024,-0.6568,2.7744,1.3609
GOOGL_CVCO,GOOGL,CVCO,0.0024,-0.7714,2.7909,2.0831
GOOGL_MGEE,GOOGL,MGEE,0.0042,-0.6379,1.8727,2.822
GOOGL_CVGW,GOOGL,CVGW,0.0017,-0.529,2.5943,1.6348
JNJ_ROK,JNJ,ROK,0.0228,-0.703,3.1449,1.6122
JNJ_NEOG,JNJ,NEOG,0.0465,-0.4692,3.7648,1.0278
JNJ_CVCO,JNJ,CVCO,0.0429,-0.7798,3.7584,1.1235
UNH_AVGO,UNH,AVGO,0.0344,-0.2148,3.9832,0.9568
UNH_CHDN,UNH,CHDN,0.0422,-0.2672,3.5605,1.5493
UNH_ROK,UNH,ROK,0.0482,-0.6264,3.0565,2.0336
UNH_NEOG,UNH,NEOG,0.0147,-0.1177,3.6743,1.4244
UNH_CVCO,UNH,CVCO,0.002,-0.1942,3.7287,1.7429
UNH_CVGW,UNH,CVGW,0.0002,-0.5203,3.954,1.8089
PG_MRK,PG,MRK,0.0271,-0.7781,3.0957,1.5537
V_HD,V,HD,0.006,-0.423,1.603,2.2098
V_COST,V,COST,0.0174,-0.5175,1.2248,2.8492
V_LLY,V,LLY,0.0161,-0.6038,2.7024,2.8104
V_MRK,V,MRK,0.0454,-0.7744,2.6274,2.1146
V_CHDN,V,CHDN,0.0053,-0.6006,2.8521,1.3451
MA_COST,MA,COST,0.0023,-0.5075,1.6428,3.1677
MA_CHDN,MA,CHDN,0.0058,-0.6978,2.985,1.4094
MA_MKC,MA,MKC,0.0499,-0.704,2.7757,2.5424
HD_NEOG,HD,NEOG,0.0439,-0.3356,3.5337,1.4561
HD_CVGW,HD,CVGW,0.0321,-0.6008,3.3782,1.6906
COST_LLY,COST,LLY,0.0246,-0.559,3.5627,2.7729
COST_CHDN,COST,CHDN,0.0066,-0.4696,3.9548,1.4785
COST_FICO,COST,FICO,0.017,-0.5419,3.3122,2.2796
COST_MKC,COST,MKC,0.0067,-0.5566,2.703,2.1244
AVGO_WU,AVGO,WU,0.0479,-0.6737,0.925,2.1506
AVGO_CVGW,AVGO,CVGW,0.0006,-0.5283,1.0977,2.5443
LLY_MRK,LLY,MRK,0.0497,-0.5575,2.0426,2.2181
BAC_BBY,BAC,BBY,0.0205,-0.7493,1.4623,1.8482
ADBE_TFX,ADBE,TFX,0.001,-0.7081,1.6588,2.6406
ADBE_ROK,ADBE,ROK,0.0343,-0.6355,2.019,2.5828
ADBE_CVCO,ADBE,CVCO,0.0016,-0.7122,3.0171,1.8956
ADBE_CVGW,ADBE,CVGW,0.0119,-0.6307,3.4618,1.8384
TFX_CHDN,TFX,CHDN,0.0222,-0.7016,3.6465,1.6084
TFX_CVCO,TFX,CVCO,0.0035,-0.6645,3.783,1.9155
TFX_CVGW,TFX,CVGW,0.0073,-0.6401,3.9518,1.79
WU_FICO,WU,FICO,0.0295,-0.7798,1.0497,2.503
CHDN_FICO,CHDN,FICO,0.0075,-0.569,1.2549,2.6121
CHDN_MKC,CHDN,MKC,0.0354,-0.6229,1.2331,3.2668
CHDN_CVCO,CHDN,CVCO,0.0302,-0.7263,1.6099,1.8029
CHDN_CVGW,CHDN,CVGW,0.0263,-0.6015,1.8478,1.9112
FICO_MKC,FICO,MKC,0.0096,-0.5677,1.7112,3.5336
ROK_NEOG,ROK,NEOG,0.0132,-0.2787,3.8253,1.5236
ROK_CVCO,ROK,CVCO,0.0039,-0.272,3.0819,2.0004
ROK_MGEE,ROK,MGEE,0.0487,-0.689,3.4795,3.4043
LII_CVGW,LII,CVGW,0.022,-0.4427,3.1844,2.0395
CLF_REG,CLF,REG,0.0435,-0.5595,1.1442,8.5785
AKAM_INSM,AKAM,INSM,0.025,-0.8403,3.751,0.9547
AKAM_GHC,AKAM,GHC,0.0166,-0.8311,0.6674,6.2065
TXT_NEOG,TXT,NEOG,0.0208,-0.513,2.689,1.7823
TXT_CVCO,TXT,CVCO,0.0393,-0.5828,1.9164,2.1348
TXT_CVGW,TXT,CVGW,0.019,-0.6324,2.1142,2.4019
INSM_GHC,INSM,GHC,0.0068,-0.6244,-1.2085,16.2866
NEOG_CVCO,NEOG,CVCO,0.0009,-0.733,1.0228,2.331
NEOG_CVGW,NEOG,CVGW,0.0136,-0.6423,1.4094,2.7262
ACLS_BBY,ACLS,BBY,0.0064,-0.7059,1.0774,3.0198
