,Stock1,Stock2,Total Log Return,Annualized Return,Sharpe Ratio,Max Drawdown,Beta,Cummulative Return,BuyHold Total Log Return,BuyHold Sharpe Ratio,BuyHold Cummulative Return,Sector1,Industry1,CapSize1,Sector2,Industry2,CapSize2,Same_Sector,Same_Industry
0,UNH,AVGO,16.76670410820919,1.680003751597899,1.3203862001665787,-38.956623888514336,"0       0.029058
1       0.029058
2       0.029058
3       0.029058
4       0.029058
          ...   
2510    1.520308
2511    1.518799
2512    1.514330
2513    1.513567
2514    1.524471
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.755499
2511    16.754037
2512    16.784605
2513    16.795132
2514    16.766704
Length: 2515, dtype: float64",2.6945680045892937,1.1733509748092017,"0      -0.001000
1       0.001904
2       0.010736
3       0.026423
4       0.025369
          ...   
2510    2.707263
2511    2.707846
2512    2.705780
2513    2.704035
2514    2.694568
Length: 2515, dtype: float64",Healthcare,Healthcare Plans,Large,Technology,Semiconductors,Large,False,False
1,ROK,NEOG,15.78488375636308,1.581626523500396,0.6902175482273568,-inf,"0       0.793466
1       0.793466
2       0.793466
3       0.793466
4       0.793466
          ...   
2510    2.178709
2511    2.161819
2512    2.283385
2513    2.232133
2514    2.123394
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    15.569139
2511    15.637794
2512    15.215646
2513    15.400223
2514    15.784884
Length: 2515, dtype: float64",1.6689329717033814,0.6821883078506012,"0      -0.001000
1      -0.018947
2      -0.015053
3      -0.004070
4       0.004538
          ...   
2510    1.680186
2511    1.672708
2512    1.677246
2513    1.671494
2514    1.668933
Length: 2515, dtype: float64",Industrials,Specialty Industrial Machinery,Mid,Healthcare,Diagnostics & Research,Small,False,False
2,V,HD,36.75455125906171,3.6827621937509143,1.240828366433856,-inf,"0       0.460538
1       0.460538
2       0.460538
3       0.460538
4       0.460538
          ...   
2510   -0.371727
2511   -0.380838
2512   -0.382233
2513   -0.388896
2514   -0.407137
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    36.941380
2511    36.888283
2512    36.872232
2513    36.837399
2514    36.754551
Length: 2515, dtype: float64",2.2367031786349227,1.213667990906197,"0      -0.001000
1      -0.003114
2      -0.011607
3      -0.001103
4      -0.002132
          ...   
2510    2.240055
2511    2.244682
2512    2.249243
2513    2.247922
2514    2.236703
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Consumer Cyclical,Home Improvement Retail,Large,False,False
3,JNJ,NEOG,10.83879129655553,1.0860339589391623,0.774225184553787,-1.3789126798567115,"0       0.176903
1       0.176903
2       0.176903
3       0.176903
4       0.176903
          ...   
2510    1.028167
2511    1.019339
2512    1.063911
2513    1.043810
2514    1.025162
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    10.821987
2511    10.857268
2512    10.698798
2513    10.773951
2514    10.838791
Length: 2515, dtype: float64",1.389702238579879,0.7188509342786612,"0      -0.001000
1      -0.020782
2      -0.022252
3      -0.020313
4      -0.016911
          ...   
2510    1.401499
2511    1.395863
2512    1.396668
2513    1.393711
2514    1.389702
Length: 2515, dtype: float64",Healthcare,Drug Manufacturers - General,Large,Healthcare,Diagnostics & Research,Small,True,False
4,V,COST,43.30119149421299,4.338727736199473,1.1972271880090355,-14.026897501760567,"0       1.031714
1       1.031714
2       1.031714
3       1.031714
4       1.031714
          ...   
2510    0.391108
2511    0.308874
2512    0.193750
2513    0.074617
2514   -0.255844
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    39.675456
2511    40.137259
2512    40.789278
2513    41.458510
2514    43.301191
Length: 2515, dtype: float64",2.033787695612858,1.1883499647157878,"0      -0.001000
1      -0.008280
2      -0.008581
3      -0.006372
4      -0.008604
          ...   
2510    2.029677
2511    2.032551
2512    2.039314
2513    2.037175
2514    2.033788
Length: 2515, dtype: float64",Financial Services,Credit Services,Large,Consumer Defensive,Discount Stores,Large,False,False
5,JPM,TFX,57.42840924218565,5.754258102994347,1.395122138863774,-inf,"0       0.591331
1       0.591331
2       0.591331
3       0.591331
4       0.591331
          ...   
2510    1.074855
2511    1.051683
2512    1.037667
2513    1.020290
2514    0.994044
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    56.933673
2511    57.074021
2512    57.170585
2513    57.275882
2514    57.428409
Length: 2515, dtype: float64",1.7229367492514729,0.8777193230312709,"0      -0.001000
1       0.003248
2       0.010971
3       0.025357
4       0.027067
          ...   
2510    1.722668
2511    1.723610
2512    1.727268
2513    1.726567
2514    1.722937
Length: 2515, dtype: float64",Financial Services,Banks - Diversified,Large,Healthcare,Medical Instruments & Supplies,Mid,False,False
6,JPM,CVCO,18.390142400193078,1.8426703319477755,0.6946003233968093,-inf,"0       0.560934
1       0.560934
2       0.560934
3       0.560934
4       0.560934
          ...   
2510    1.502742
2511    1.490605
2512    1.413489
2513    1.318727
2514    1.178357
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    16.669895
2511    16.732138
2512    17.145855
2513    17.645769
2514    18.390142
Length: 2515, dtype: float64",1.5240827418473453,0.564865703043882,"0      -0.001000
1      -0.007416
2      -0.022497
3       0.006783
4       0.022308
          ...   
2510    1.521039
2511    1.523897
2512    1.530207
2513    1.530566
2514    1.524083
Length: 2515, dtype: float64",Financial Services,Banks - Diversified,Large,Consumer Cyclical,Residential Construction,Small,False,False
7,INSM,GHC,167.47817125319807,16.78111298441587,0.7566860281936832,-inf,"0       0.756071
1       0.756071
2       0.756071
3       0.756071
4       0.756071
          ...   
2510   -3.238022
2511   -3.056644
2512   -2.910091
2513   -2.660180
2514   -2.491509
Length: 2515, dtype: float64","0         0.000000
1         0.000000
2         0.000000
3         0.000000
4         0.000000
           ...    
2510    162.608601
2511    163.775003
2512    164.737656
2513    166.384749
2514    167.478171
Length: 2515, dtype: float64",1.0721148517613464,0.2708931425220467,"0      -0.001000
1       0.000446
2       0.001133
3       0.012370
4       0.012370
          ...   
2510    1.105550
2511    1.108675
2512    1.096252
2513    1.079796
2514    1.072115
Length: 2515, dtype: float64",Healthcare,Biotechnology,Small,Consumer Defensive,Education & Training Services,Small,False,False
8,AAPL,WU,20.522272698502764,2.056307244541828,0.7716449747299376,-inf,"0      -0.016269
1      -0.016269
2      -0.016269
3      -0.016269
4      -0.016269
          ...   
2510    1.080535
2511    1.080942
2512    1.088717
2513    1.100602
2514    1.108061
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    20.481310
2511    20.478779
2512    20.491058
2513    20.530082
2514    20.522273
Length: 2515, dtype: float64",1.5111124862859513,0.7320345436822487,"0      -0.001000
1      -0.002236
2      -0.010516
3       0.004359
4       0.012493
          ...   
2510    1.505722
2511    1.504906
2512    1.518776
2513    1.520050
2514    1.511112
Length: 2515, dtype: float64",Technology,Consumer Electronics,Large,Financial Services,Credit Services,Mid,False,False
9,AVGO,WU,37.88562168236499,3.796094100976532,1.3204142166658517,-inf,"0       0.017185
1       0.017185
2       0.017185
3       0.017185
4       0.017185
          ...   
2510    0.874042
2511    0.878754
2512    0.885670
2513    0.886270
2514    0.884532
Length: 2515, dtype: float64","0        0.000000
1        0.000000
2        0.000000
3        0.000000
4        0.000000
          ...    
2510    37.924197
2511    37.915480
2512    37.879859
2513    37.870907
2514    37.885622
Length: 2515, dtype: float64",1.819304595526475,0.7530806925461033,"0      -0.001000
1       0.000598
2       0.004267
3       0.016924
4       0.025410
          ...   
2510    1.836571
2511    1.836795
2512    1.836895
2513    1.836074
2514    1.819305
Length: 2515, dtype: float64",Technology,Semiconductors,Large,Financial Services,Credit Services,Mid,False,False
